symbol,date,open,high,low,close,volume
AAPL,2021-02-25,220.28,222.97,218.63,221.32,5690674
AAPL,2021-02-26,221.32,223.32,219.17,221.17,5787797
AAPL,2021-03-01,221.17,222.06,220.57,221.46,5884920
AAPL,2021-03-02,221.46,223.12,220.51,222.17,5982043
AAPL,2021-03-03,222.17,223.47,220.39,221.69,6079166
AAPL,2021-03-04,221.69,223.34,219.98,221.63,6176289
AAPL,2021-03-05,221.63,223.99,219.63,221.99,6273412
AAPL,2021-03-08,221.99,222.59,220.56,221.16,6370535
AAPL,2021-03-09,221.16,222.11,219.80,220.75,6467658
AAPL,2021-03-10,220.75,222.06,219.45,220.76,6564781
AAPL,2021-03-11,220.76,222.41,217.92,219.57,6661904
AAPL,2021-03-12,219.57,221.57,216.81,218.81,6759027
AAPL,2021-03-15,218.81,219.41,217.87,218.47,6856150
AAPL,2021-03-16,218.47,219.42,215.99,216.94,6953273
AAPL,2021-03-17,216.94,218.24,214.54,215.84,7050396
AAPL,2021-03-18,215.84,217.49,213.52,215.17,7147519
AAPL,2021-03-19,215.17,217.17,211.31,213.31,7244642
AAPL,2021-03-22,213.31,213.91,211.29,211.89,7341765
AAPL,2021-03-23,211.89,212.84,209.96,210.91,7438888
AAPL,2021-03-24,210.91,212.21,207.46,208.76,7536011
AAPL,2021-03-25,208.76,210.41,205.40,207.05,7633134
AAPL,2021-03-26,207.05,209.05,203.80,205.80,7730257
AAPL,2021-03-29,205.80,206.40,202.79,203.39,7827380
AAPL,2021-03-30,203.39,204.34,200.49,201.44,7924503
AAPL,2021-03-31,201.44,202.74,198.67,199.97,8021626
AAPL,2021-04-01,199.97,201.62,195.70,197.35,8118749
AAPL,2021-04-02,197.35,199.35,193.21,195.21,8215872
AAPL,2021-04-05,195.21,195.81,192.96,193.56,8312995
AAPL,2021-04-06,193.56,194.51,189.84,190.79,8410118
AAPL,2021-04-07,190.79,192.09,187.21,188.51,8507241
AAPL,2021-04-08,188.51,190.16,185.10,186.75,8604364
AAPL,2021-04-09,186.75,188.75,181.88,183.88,8701487
AAPL,2021-04-12,183.88,184.48,180.94,181.54,8798610
AAPL,2021-04-13,181.54,182.49,178.78,179.73,8895733
AAPL,2021-04-14,179.73,181.03,175.53,176.83,8992856
AAPL,2021-04-15,176.83,178.48,172.83,174.48,2089979
AAPL,2021-04-16,174.48,176.48,170.68,172.68,2187102
AAPL,2021-04-19,172.68,173.28,169.22,169.82,2284225
AAPL,2021-04-20,169.82,170.77,166.58,167.53,2381348
AAPL,2021-04-21,167.53,168.83,164.52,165.82,2478471
AAPL,2021-04-22,165.82,167.47,161.41,163.06,2575594
AAPL,2021-04-23,163.06,165.06,158.90,160.90,2672717
AAPL,2021-04-26,160.90,161.50,158.73,159.33,2769840
AAPL,2021-04-27,159.33,160.28,155.79,156.74,2866963
AAPL,2021-04-28,156.74,158.04,153.46,154.76,2964086
AAPL,2021-04-29,154.76,156.41,151.74,153.39,3061209
AAPL,2021-04-30,153.39,155.39,149.03,151.03,3158332
AAPL,2021-05-03,151.03,151.63,148.69,149.29,3255455
AAPL,2021-05-04,149.29,150.24,147.24,148.19,3352578
AAPL,2021-05-05,148.19,149.49,144.80,146.10,3449701
AAPL,2021-05-06,146.10,147.75,143.01,144.66,3546824
AAPL,2021-05-07,144.66,146.66,141.86,143.86,3643947
AAPL,2021-05-10,143.86,144.46,141.49,142.09,3741070
AAPL,2021-05-11,142.09,143.04,140.03,140.98,3838193
AAPL,2021-05-12,140.98,142.28,139.23,140.53,3935316
AAPL,2021-05-13,140.53,142.18,137.47,139.12,4032439
AAPL,2021-05-14,139.12,141.12,136.37,138.37,4129562
AAPL,2021-05-17,138.37,138.97,137.69,138.29,4226685
AAPL,2021-05-18,138.29,139.24,136.31,137.26,4323808
AAPL,2021-05-19,137.26,138.56,135.60,136.90,4420931
AAPL,2021-05-20,136.90,138.85,135.25,137.20,4518054
AAPL,2021-05-21,137.20,139.20,134.56,136.56,4615177
AAPL,2021-05-24,136.56,137.19,135.96,136.59,4712300
AAPL,2021-05-25,136.59,138.24,135.64,137.29,4809423
AAPL,2021-05-26,137.29,138.59,135.74,137.04,4906546
AAPL,2021-05-27,137.04,139.10,135.39,137.45,5003669
AAPL,2021-05-28,137.45,140.54,135.45,138.54,5100792
AAPL,2021-05-31,138.54,139.26,137.94,138.66,5197915
AAPL,2021-06-01,138.66,140.40,137.71,139.45,5295038
AAPL,2021-06-02,139.45,142.20,138.15,140.90,5392161
AAPL,2021-06-03,140.90,143.03,139.25,141.38,5489284
AAPL,2021-06-04,141.38,144.51,139.38,142.51,5586407
AAPL,2021-06-07,142.51,144.89,141.91,144.29,5683530
AAPL,2021-06-08,144.29,146.04,143.34,145.09,5780653
AAPL,2021-06-09,145.09,147.83,143.79,146.53,5877776
AAPL,2021-06-10,146.53,150.25,144.88,148.60,5974899
AAPL,2021-06-11,148.60,151.67,146.60,149.67,6072022
AAPL,2021-06-14,149.67,151.97,149.07,151.37,6169145
AAPL,2021-06-15,151.37,154.63,150.42,153.68,6266268
AAPL,2021-06-16,153.68,156.28,152.38,154.98,6363391
AAPL,2021-06-17,154.98,158.52,153.33,156.87,6460514
AAPL,2021-06-18,156.87,161.36,154.87,159.36,6557637
AAPL,2021-06-21,159.36,161.42,158.76,160.82,6654760
AAPL,2021-06-22,160.82,163.81,159.87,162.86,6751883
AAPL,2021-06-23,162.86,166.77,161.56,165.47,6849006
AAPL,2021-06-24,165.47,168.67,163.82,167.02,6946129
AAPL,2021-06-25,167.02,171.13,165.02,169.13,7043252
AAPL,2021-06-28,169.13,172.39,168.53,171.79,7140375
AAPL,2021-06-29,171.79,174.32,170.84,173.37,7237498
AAPL,2021-06-30,173.37,176.78,172.07,175.48,7334621
AAPL,2021-07-01,175.48,179.77,173.83,178.12,7431744
AAPL,2021-07-02,178.12,181.65,176.12,179.65,7528867
AAPL,2021-07-05,179.65,182.30,179.05,181.70,7625990
AAPL,2021-07-06,181.70,185.20,180.75,184.25,7723113
AAPL,2021-07-07,184.25,186.98,182.95,185.68,7820236
AAPL,2021-07-08,185.68,189.25,184.03,187.60,7917359
AAPL,2021-07-09,187.60,191.99,185.60,189.99,8014482
AAPL,2021-07-12,189.99,191.85,189.39,191.25,8111605
AAPL,2021-07-13,191.25,193.92,190.30,192.97,8208728
AAPL,2021-07-14,192.97,196.45,191.67,195.15,8305851
AAPL,2021-07-15,195.15,197.82,193.50,196.17,8402974
AAPL,2021-07-16,196.17,199.63,194.17,197.63,8500097
AAPL,2021-07-19,197.63,200.15,197.03,199.55,8597220
AAPL,2021-07-20,199.55,201.23,198.60,200.28,8694343
AAPL,2021-07-21,200.28,202.75,198.98,201.45,8791466
AAPL,2021-07-22,201.45,204.70,199.80,203.05,8888589
AAPL,2021-07-23,203.05,205.45,201.05,203.45,8985712
AAPL,2021-07-26,203.45,204.88,202.85,204.28,2082835
AAPL,2021-07-27,204.28,206.47,203.33,205.52,2179958
AAPL,2021-07-28,205.52,206.87,204.22,205.57,2277081
AAPL,2021-07-29,205.57,207.68,203.92,206.03,2374204
AAPL,2021-07-30,206.03,208.90,204.03,206.90,2471327
AAPL,2021-08-02,206.90,207.50,205.96,206.56,2568450
AAPL,2021-08-03,206.56,207.58,205.61,206.63,2665573
AAPL,2021-08-04,206.63,208.41,205.33,207.11,2762696
AAPL,2021-08-05,207.11,208.76,204.73,206.38,2859819
AAPL,2021-08-06,206.38,208.38,204.06,206.06,2956942
AAPL,2021-08-09,206.06,206.75,205.46,206.15,3054065
AAPL,2021-08-10,206.15,207.10,204.08,205.03,3151188
AAPL,2021-08-11,205.03,206.33,203.03,204.33,3248311
AAPL,2021-08-12,204.33,205.98,202.39,204.04,3345434
AAPL,2021-08-13,204.04,206.04,200.54,202.54,3442557
AAPL,2021-08-16,202.54,203.14,200.87,201.47,3539680
AAPL,2021-08-17,201.47,202.42,199.87,200.82,3636803
AAPL,2021-08-18,200.82,202.12,197.68,198.98,3733926
AAPL,2021-08-19,198.98,200.63,195.92,197.57,3831049
AAPL,2021-08-20,197.57,199.57,194.60,196.60,3928172
AAPL,2021-08-23,196.60,197.20,193.84,194.44,4025295
AAPL,2021-08-24,194.44,195.39,191.79,192.74,4122418
AAPL,2021-08-25,192.74,194.04,190.18,191.48,4219541
AAPL,2021-08-26,191.48,193.13,187.41,189.06,4316664
AAPL,2021-08-27,189.06,191.06,185.11,187.11,4413787
AAPL,2021-08-30,187.11,187.71,185.02,185.62,4510910
AAPL,2021-08-31,185.62,186.57,182.04,182.99,4608033
AAPL,2021-09-01,182.99,184.29,179.54,180.84,4705156
AAPL,2021-09-02,180.84,182.49,177.53,179.18,4802279
AAPL,2021-09-03,179.18,181.18,174.40,176.40,4899402
AAPL,2021-09-06,176.40,177.00,173.51,174.11,4996525
AAPL,2021-09-07,174.11,175.06,171.39,172.34,5093648
AAPL,2021-09-08,172.34,173.64,168.17,169.47,5190771
AAPL,2021-09-09,169.47,171.12,165.48,167.13,5287894
AAPL,2021-09-10,167.13,169.13,163.31,165.31,5385017
AAPL,2021-09-13,165.31,165.91,161.82,162.42,5482140
AAPL,2021-09-14,162.42,163.37,159.12,160.07,5579263
AAPL,2021-09-15,160.07,161.37,156.97,158.27,5676386
AAPL,2021-09-16,158.27,159.92,153.77,155.42,5773509
AAPL,2021-09-17,155.42,157.42,151.14,153.14,5870632
AAPL,2021-09-20,153.14,153.74,150.83,151.43,5967755
AAPL,2021-09-21,151.43,152.38,147.74,148.69,6064878
AAPL,2021-09-22,148.69,149.99,145.23,146.53,6162001
AAPL,2021-09-23,146.53,148.18,143.32,144.97,6259124
AAPL,2021-09-24,144.97,146.97,140.39,142.39,6356247
AAPL,2021-09-27,142.39,142.99,139.82,140.42,6453370
AAPL,2021-09-28,140.42,141.37,138.12,139.07,6550493
AAPL,2021-09-29,139.07,140.37,135.41,136.71,6647616
AAPL,2021-09-30,136.71,138.36,133.33,134.98,6744739
AAPL,2021-10-01,134.98,136.98,131.87,133.87,6841862
AAPL,2021-10-04,133.87,134.47,131.18,131.78,6938985
AAPL,2021-10-05,131.78,132.73,129.38,130.33,7036108
AAPL,2021-10-06,130.33,131.63,128.22,129.52,7133231
AAPL,2021-10-07,129.52,131.17,126.08,127.73,7230354
AAPL,2021-10-08,127.73,129.73,124.59,126.59,7327477
AAPL,2021-10-11,126.59,127.19,125.50,126.10,7424600
AAPL,2021-10-12,126.10,127.05,123.70,124.65,7521723
AAPL,2021-10-13,124.65,125.95,122.55,123.85,7618846
AAPL,2021-10-14,123.85,125.50,122.05,123.70,7715969
AAPL,2021-10-15,123.70,125.70,120.60,122.60,7813092
AAPL,2021-10-18,122.60,123.20,121.55,122.15,7910215
AAPL,2021-10-19,122.15,123.31,121.20,122.36,8007338
AAPL,2021-10-20,122.36,123.66,120.30,121.60,8104461
AAPL,2021-10-21,121.60,123.25,119.86,121.51,8201584
AAPL,2021-10-22,121.51,124.07,119.51,122.07,8298707
AAPL,2021-10-25,122.07,122.67,121.06,121.66,8395830
AAPL,2021-10-26,121.66,122.86,120.71,121.91,8492953
AAPL,2021-10-27,121.91,124.10,120.61,122.80,8590076
AAPL,2021-10-28,122.80,124.45,121.08,122.73,8687199
AAPL,2021-10-29,122.73,125.30,120.73,123.30,8784322
AAPL,2021-11-01,123.30,125.11,122.70,124.51,8881445
AAPL,2021-11-02,124.51,125.69,123.56,124.74,8978568
AAPL,2021-11-03,124.74,126.91,123.44,125.61,2075691
AAPL,2021-11-04,125.61,128.75,123.96,127.10,2172814
AAPL,2021-11-05,127.10,129.60,125.10,127.60,2269937
AAPL,2021-11-08,127.60,129.32,127.00,128.72,2367060
AAPL,2021-11-09,128.72,131.41,127.77,130.46,2464183
AAPL,2021-11-10,130.46,132.48,129.16,131.18,2561306
AAPL,2021-11-11,131.18,134.16,129.53,132.51,2658429
AAPL,2021-11-12,132.51,136.44,130.51,134.44,2755552
AAPL,2021-11-15,134.44,135.95,133.84,135.35,2852675
AAPL,2021-11-16,135.35,137.79,134.40,136.84,2949798
AAPL,2021-11-17,136.84,140.21,135.54,138.91,3046921
AAPL,2021-11-18,138.91,141.58,137.26,139.93,3144044
AAPL,2021-11-19,139.93,143.53,137.93,141.53,3241167
AAPL,2021-11-22,141.53,144.28,140.93,143.68,3338290
AAPL,2021-11-23,143.68,145.72,142.73,144.77,3435413
AAPL,2021-11-24,144.77,147.71,143.47,146.41,3532536
AAPL,2021-11-25,146.41,150.25,144.76,148.60,3629659
AAPL,2021-11-26,148.60,151.70,146.60,149.70,3726782
AAPL,2021-11-29,149.70,151.93,149.10,151.33,3823905
AAPL,2021-11-30,151.33,154.43,150.38,153.48,3921028
AAPL,2021-12-01,153.48,155.83,152.18,154.53,4018151
AAPL,2021-12-02,154.53,157.74,152.88,156.09,4115274
AAPL,2021-12-03,156.09,160.16,154.09,158.16,4212397
AAPL,2021-12-06,158.16,159.71,157.56,159.11,4309520
AAPL,2021-12-07,159.11,161.51,158.16,160.56,4406643
AAPL,2021-12-08,160.56,163.79,159.26,162.49,4503766
AAPL,2021-12-09,162.49,164.94,160.84,163.29,4600889
AAPL,2021-12-10,163.29,166.57,161.29,164.57,4698012
AAPL,2021-12-13,164.57,166.93,163.97,166.33,4795135
AAPL,2021-12-14,166.33,167.88,165.38,166.93,4892258
AAPL,2021-12-15,166.93,169.30,165.63,168.00,4989381
AAPL,2021-12-16,168.00,171.19,166.35,169.54,5086504
AAPL,2021-12-17,169.54,171.92,167.54,169.92,5183627
AAPL,2021-12-20,169.92,171.35,169.32,170.75,5280750
AAPL,2021-12-21,170.75,172.99,169.80,172.04,5377873
AAPL,2021-12-22,172.04,173.46,170.74,172.16,5474996
AAPL,2021-12-23,172.16,174.38,170.51,172.73,5572119
AAPL,2021-12-24,172.73,175.75,170.73,173.75,5669242
AAPL,2021-12-27,173.75,174.35,173.00,173.60,5766365
AAPL,2021-12-28,173.60,174.84,172.65,173.89,5863488
AAPL,2021-12-29,173.89,175.93,172.59,174.63,5960611
AAPL,2021-12-30,174.63,176.28,172.54,174.19,6057734
AAPL,2021-12-31,174.19,176.20,172.19,174.20,6154857
AAPL,2022-01-03,174.20,175.25,173.60,174.65,6251980
AAPL,2022-01-04,174.65,175.60,172.99,173.94,6349103
AAPL,2022-01-05,173.94,175.24,172.36,173.66,6446226
AAPL,2022-01-06,173.66,175.49,172.01,173.84,6543349
AAPL,2022-01-07,173.84,175.84,170.85,172.85,6640472
AAPL,2022-01-10,172.85,173.45,171.71,172.31,6737595
AAPL,2022-01-11,172.31,173.26,171.28,172.23,6834718
AAPL,2022-01-12,172.23,173.53,169.68,170.98,6931841
AAPL,2022-01-13,170.98,172.63,168.55,170.20,7028964
AAPL,2022-01-14,170.20,172.20,167.88,169.88,7126087
AAPL,2022-01-17,169.88,170.48,167.81,168.41,7223210
AAPL,2022-01-18,168.41,169.36,166.46,167.41,7320333
AAPL,2022-01-19,167.41,168.71,165.58,166.88,7417456
AAPL,2022-01-20,166.88,168.53,163.57,165.22,7514579
AAPL,2022-01-21,165.22,167.22,162.03,164.03,7611702
AAPL,2022-01-24,164.03,164.63,162.74,163.34,7708825
AAPL,2022-01-25,163.34,164.29,160.57,161.52,7805948
AAPL,2022-01-26,161.52,162.82,158.89,160.19,7903071
AAPL,2022-01-27,160.19,161.84,157.72,159.37,8000194
AAPL,2022-01-28,159.37,161.37,155.44,157.44,8097317
AAPL,2022-01-31,157.44,158.04,155.41,156.01,8194440
AAPL,2022-02-01,156.01,156.96,154.16,155.11,8291563
AAPL,2022-02-02,155.11,156.41,151.81,153.11,8388686
AAPL,2022-02-03,153.11,154.76,149.98,151.63,8485809
AAPL,2022-02-04,151.63,153.63,148.69,150.69,8582932
AAPL,2022-02-07,150.69,151.29,148.06,148.66,8680055
AAPL,2022-02-08,148.66,149.61,146.22,147.17,8777178
AAPL,2022-02-09,147.17,148.47,144.94,146.24,8874301
AAPL,2022-02-10,146.24,147.89,142.58,144.23,8971424
AAPL,2022-02-11,144.23,146.23,140.78,142.78,2068547
AAPL,2022-02-14,142.78,143.38,141.30,141.90,2165670
AAPL,2022-02-15,141.90,142.85,139.00,139.95,2262793
AAPL,2022-02-16,139.95,141.25,137.28,138.58,2359916
AAPL,2022-02-17,138.58,140.23,136.13,137.78,2457039
AAPL,2022-02-18,137.78,139.78,133.94,135.94,2554162
AAPL,2022-02-21,135.94,136.54,134.09,134.69,2651285
AAPL,2022-02-22,134.69,135.64,133.06,134.01,2748408
AAPL,2022-02-23,134.01,135.31,131.01,132.31,2845531
AAPL,2022-02-24,132.31,133.96,129.54,131.19,2942654
AAPL,2022-02-25,131.19,133.19,128.68,130.68,3039777
AAPL,2022-02-28,130.68,131.28,128.53,129.13,3136900
AAPL,2022-03-01,129.13,130.08,127.24,128.19,3234023
AAPL,2022-03-02,128.19,129.49,126.55,127.85,3331146
AAPL,2022-03-03,127.85,129.50,124.83,126.48,3428269
AAPL,2022-03-04,126.48,128.48,123.73,125.73,3525392
AAPL,2022-03-07,125.73,126.33,124.98,125.58,3622515
AAPL,2022-03-08,125.58,126.53,123.46,124.41,3719638
AAPL,2022-03-09,124.41,125.71,122.55,123.85,3816761
AAPL,2022-03-10,123.85,125.55,122.20,123.90,3913884
AAPL,2022-03-11,123.90,125.90,120.94,122.94,4011007
AAPL,2022-03-14,122.94,123.54,121.98,122.58,4108130
AAPL,2022-03-15,122.58,123.77,121.63,122.82,4205253
AAPL,2022-03-16,122.82,124.12,120.76,122.06,4302376
AAPL,2022-03-17,122.06,123.71,120.25,121.90,4399499
AAPL,2022-03-18,121.90,124.34,119.90,122.34,4496622
AAPL,2022-03-21,122.34,122.94,121.16,121.76,4593745
AAPL,2022-03-22,121.76,122.73,120.81,121.78,4690868
AAPL,2022-03-23,121.78,123.70,120.48,122.40,4787991
AAPL,2022-03-24,122.40,124.05,120.34,121.99,4885114
AAPL,2022-03-25,121.99,124.18,119.99,122.18,4982237
AAPL,2022-03-28,122.18,123.55,121.58,122.95,5079360
AAPL,2022-03-29,122.95,123.90,121.75,122.70,5176483
AAPL,2022-03-30,122.70,124.32,121.40,123.02,5273606
AAPL,2022-03-31,123.02,125.58,121.37,123.93,5370729
AAPL,2022-04-01,123.93,125.93,121.80,123.80,5467852
AAPL,2022-04-04,123.80,124.84,123.20,124.24,5564975
AAPL,2022-04-05,124.24,126.20,123.29,125.25,5662098
AAPL,2022-04-06,125.25,126.55,123.91,125.21,5759221
AAPL,2022-04-07,125.21,127.38,123.56,125.73,5856344
AAPL,2022-04-08,125.73,128.81,123.73,126.81,5953467
AAPL,2022-04-11,126.81,127.43,126.21,126.83,6050590
AAPL,2022-04-12,126.83,128.35,125.88,127.40,6147713
AAPL,2022-04-13,127.40,129.82,126.10,128.52,6244836
AAPL,2022-04-14,128.52,130.22,126.87,128.57,6341959
AAPL,2022-04-15,128.57,131.15,126.57,129.15,6439082
AAPL,2022-04-18,129.15,130.88,128.55,130.28,6536205
AAPL,2022-04-19,130.28,131.26,129.33,130.31,6633328
AAPL,2022-04-20,130.31,132.18,129.01,130.88,6730451
AAPL,2022-04-21,130.88,133.62,129.23,131.97,6827574
AAPL,2022-04-22,131.97,133.97,129.97,131.97,6924697
AAPL,2022-04-25,131.97,133.09,131.37,132.49,7021820
AAPL,2022-04-26,132.49,134.47,131.54,133.52,7118943
AAPL,2022-04-27,133.52,134.82,132.15,133.45,7216066
AAPL,2022-04-28,133.45,135.54,131.80,133.89,7313189
AAPL,2022-04-29,133.89,136.84,131.89,134.84,7410312
AAPL,2022-05-02,134.84,135.44,134.08,134.68,7507435
AAPL,2022-05-03,134.68,135.97,133.73,135.02,7604558
AAPL,2022-05-04,135.02,137.16,133.72,135.86,7701681
AAPL,2022-05-05,135.86,137.51,133.93,135.58,7798804
AAPL,2022-05-06,135.58,137.81,133.58,135.81,7895927
AAPL,2022-05-09,135.81,137.13,135.21,136.53,7993050
AAPL,2022-05-10,136.53,137.48,135.17,136.12,8090173
AAPL,2022-05-11,136.12,137.51,134.82,136.21,8187296
AAPL,2022-05-12,136.21,138.45,134.56,136.80,8284419
AAPL,2022-05-13,136.80,138.80,134.26,136.26,8381542
AAPL,2022-05-16,136.26,136.86,135.62,136.22,8478665
AAPL,2022-05-17,136.22,137.62,135.27,136.67,8575788
AAPL,2022-05-18,136.67,137.97,134.69,135.99,8672911
AAPL,2022-05-19,135.99,137.64,134.16,135.81,8770034
AAPL,2022-05-20,135.81,138.13,133.81,136.13,8867157
AAPL,2022-05-23,136.13,136.73,134.72,135.32,8964280
AAPL,2022-05-24,135.32,136.27,134.06,135.01,2061403
AAPL,2022-05-25,135.01,136.50,133.71,135.20,2158526
AAPL,2022-05-26,135.20,136.85,132.62,134.27,2255649
AAPL,2022-05-27,134.27,136.27,131.84,133.84,2352772
AAPL,2022-05-30,133.84,134.52,133.24,133.92,2449895
AAPL,2022-05-31,133.92,134.87,131.94,132.89,2547018
AAPL,2022-06-01,132.89,134.19,131.06,132.36,2644141
AAPL,2022-06-02,132.36,134.01,130.70,132.35,2741264
AAPL,2022-06-03,132.35,134.35,129.23,131.23,2838387
AAPL,2022-06-06,131.23,131.83,130.02,130.62,2935510
AAPL,2022-06-07,130.62,131.57,129.59,130.54,3032633
AAPL,2022-06-08,130.54,131.84,128.06,129.36,3129756
AAPL,2022-06-09,129.36,131.01,127.06,128.71,3226879
AAPL,2022-06-10,128.71,130.71,126.58,128.58,3324002
AAPL,2022-06-13,128.58,129.18,126.77,127.37,3421125
AAPL,2022-06-14,127.37,128.32,125.74,126.69,3518248
AAPL,2022-06-15,126.69,127.99,125.25,126.55,3615371
AAPL,2022-06-16,126.55,128.20,123.68,125.33,3712494
AAPL,2022-06-17,125.33,127.33,122.66,124.66,3809617
AAPL,2022-06-20,124.66,125.26,123.93,124.53,3906740
AAPL,2022-06-21,124.53,125.48,122.39,123.34,4003863
AAPL,2022-06-22,123.34,124.64,121.40,122.70,4100986
AAPL,2022-06-23,122.70,124.35,120.96,122.61,4198109
AAPL,2022-06-24,122.61,124.61,119.47,121.47,4295232
AAPL,2022-06-27,121.47,122.07,120.29,120.89,4392355
AAPL,2022-06-28,120.89,121.84,119.93,120.88,4489478
AAPL,2022-06-29,120.88,122.18,118.51,119.81,4586601
AAPL,2022-06-30,119.81,121.46,117.67,119.32,4683724
AAPL,2022-07-01,119.32,121.40,117.32,119.40,4780847
AAPL,2022-07-04,119.40,120.00,117.83,118.43,4877970
AAPL,2022-07-05,118.43,119.38,117.09,118.04,4975093
AAPL,2022-07-06,118.04,119.53,116.74,118.23,5072216
AAPL,2022-07-07,118.23,119.88,115.73,117.38,5169339
AAPL,2022-07-08,117.38,119.38,115.12,117.12,5266462
AAPL,2022-07-11,117.12,118.03,116.52,117.43,5363585
AAPL,2022-07-12,117.43,118.38,115.76,116.71,5460708
AAPL,2022-07-13,116.71,118.01,115.28,116.58,5557831
AAPL,2022-07-14,116.58,118.68,114.93,117.03,5654954
AAPL,2022-07-15,117.03,119.03,114.45,116.45,5752077
AAPL,2022-07-18,116.45,117.05,115.85,116.45,5849200
AAPL,2022-07-19,116.45,117.99,115.50,117.04,5946323
AAPL,2022-07-20,117.04,118.34,115.29,116.59,6043446
AAPL,2022-07-21,116.59,118.37,114.94,116.72,6140569
AAPL,2022-07-22,116.72,119.45,114.72,117.45,6237692
AAPL,2022-07-25,117.45,118.05,116.53,117.13,6334815
AAPL,2022-07-26,117.13,118.34,116.18,117.39,6431938
AAPL,2022-07-27,117.39,119.54,116.09,118.24,6529061
AAPL,2022-07-28,118.24,119.89,116.39,118.04,6626184
AAPL,2022-07-29,118.04,120.41,116.04,118.41,6723307
AAPL,2022-08-01,118.41,119.96,117.81,119.36,6820430
AAPL,2022-08-02,119.36,120.31,118.31,119.26,6917553
AAPL,2022-08-03,119.26,121.03,117.96,119.73,7014676
AAPL,2022-08-04,119.73,122.42,118.08,120.77,7111799
AAPL,2022-08-05,120.77,122.77,118.75,120.75,7208922
AAPL,2022-08-08,120.75,121.88,120.15,121.28,7306045
AAPL,2022-08-09,121.28,123.33,120.33,122.38,7403168
AAPL,2022-08-10,122.38,123.71,121.08,122.41,7500291
AAPL,2022-08-11,122.41,124.63,120.76,122.98,7597414
AAPL,2022-08-12,122.98,126.11,120.98,124.11,7694537
MSFT,2021-01-04,328.00,329.96,327.05,329.01,2137531
MSFT,2021-01-05,329.01,332.10,327.71,330.80,2234654
MSFT,2021-01-06,330.80,334.99,329.15,333.34,2331777
MSFT,2021-01-07,333.34,337.03,331.34,335.03,2428900
MSFT,2021-01-08,335.03,338.06,334.43,337.46,2526023
MSFT,2021-01-11,337.46,339.97,336.51,339.02,2623146
MSFT,2021-01-12,339.02,342.62,337.72,341.32,2720269
MSFT,2021-01-13,341.32,344.39,339.67,342.74,2817392
MSFT,2021-01-14,342.74,346.87,340.74,344.87,2914515
MSFT,2021-01-15,344.87,346.71,344.27,346.11,3011638
MSFT,2021-01-18,346.11,349.01,345.16,348.06,3108761
MSFT,2021-01-19,348.06,352.01,346.76,350.71,3205884
MSFT,2021-01-20,350.71,354.09,349.06,352.44,3303007
MSFT,2021-01-21,352.44,356.86,350.44,354.86,3400130
MSFT,2021-01-22,354.86,356.95,354.26,356.35,3497253
MSFT,2021-01-25,356.35,359.47,355.40,358.52,3594376
